ID,custom_color,
ENSG00000121022,red,proteasome
ENSG00000100519,red,
ENSG00000165916,red,
ENSG00000129084,red,
ENSG00000106588,red,
ENSG00000041357,red,
ENSG00000185627,red,
ENSG00000175166,red,
ENSG00000100764,red,
ENSG00000100567,red,
ENSG00000159377,red,
ENSG00000100804,red,
ENSG00000100902,red,
ENSG00000161057,red,
ENSG00000087191,red,
ENSG00000115233,red,
ENSG00000069869,red,
ENSG00000160803,red,
ENSG00000143106,red,
ENSG00000173110,red,
ENSG00000131467,red,
ENSG00000165280,red,
ENSG00000114062,red,
ENSG00000131469,green,translation
ENSG00000114391,green,
ENSG00000145425,green,
ENSG00000164587,green,
ENSG00000156482,green,
ENSG00000142534,green,
ENSG00000110700,green,
ENSG00000171863,green,
ENSG00000186468,green,
ENSG00000122406,green,
ENSG00000125691,green,
ENSG00000124614,green,
ENSG00000149273,green,
ENSG00000174444,green,
ENSG00000140988,green,
ENSG00000142676,green,
ENSG00000198034,green,
ENSG00000142937,green,
ENSG00000105193,green,
ENSG00000182774,green,
ENSG00000105372,green,
ENSG00000008988,green,
ENSG00000083845,green,
ENSG00000137154,green,
ENSG00000170889,green,
ENSG00000231500,green,
ENSG00000197958,green,
ENSG00000167526,green,
ENSG00000089009,green,
ENSG00000147604,green,
ENSG00000118181,green,
ENSG00000122026,green,
ENSG00000148303,green,
ENSG00000198755,green,
ENSG00000168028,green,
ENSG00000089157,green,
ENSG00000174748,green,
ENSG00000105640,green,
ENSG00000108298,green,
ENSG00000063177,green,
ENSG00000198242,green,
ENSG00000166441,green,
ENSG00000071082,green,
ENSG00000197756,green,
ENSG00000100316,green,
ENSG00000147403,green,
ENSG00000163682,green,
ENSG00000134419,green,
ENSG00000138326,green,
ENSG00000197728,green,
ENSG00000233927,green,
ENSG00000265681,green,
ENSG00000188846,green,
ENSG00000172809,green,
ENSG00000143947,green,
ENSG00000213741,green,
ENSG00000262814,green,
ENSG00000135972,green,
ENSG00000037241,green,
ENSG00000177954,green,
ENSG00000182899,green,
ENSG00000221983,green,
ENSG00000113558,blue,ubiquitin related
ENSG00000166167,blue,
ENSG00000139842,blue,
ENSG00000111530,blue,
ENSG00000158290,blue,
ENSG00000100387,blue,
ENSG00000055130,blue,
ENSG00000043093,blue,
ENSG00000108094,blue,
ENSG00000134086,blue,
ENSG00000166266,blue,
ENSG00000036257,blue,
ENSG00000113851,blue,
ENSG00000108106,blue,
ENSG00000145604,blue,
ENSG00000123091,blue,
ENSG00000167986,blue,
ENSG00000072803,blue,
ENSG00000136485,blue,
ENSG00000147364,blue,
ENSG00000109079,blue,
ENSG00000044090,blue,
ENSG00000179091,darkred,mitocarta
ENSG00000117118,darkred,
ENSG00000167186,darkred,
ENSG00000073578,darkred,
ENSG00000010256,darkred,
ENSG00000110871,darkred,
ENSG00000131828,darkred,
ENSG00000088682,darkred,
ENSG00000262814,darkred,
ENSG00000178741,darkred,
ENSG00000165898,darkred,
ENSG00000105819,darkred,
ENSG00000169021,darkred,
ENSG00000105953,darkred,
ENSG00000168291,darkred,
ENSG00000140740,darkred,
ENSG00000204370,darkred,
ENSG00000061794,darkred,
ENSG00000164405,darkred,
ENSG00000204822,darkred,
ENSG00000137992,darkred,
ENSG00000004799,darkred,
ENSG00000146701,darkred,
ENSG00000113048,darkred,
ENSG00000062485,darkred,
ENSG00000109519,darkred,
ENSG00000150768,darkred,
ENSG00000138095,darkred,
